#stairCaseSerialID,parameterNumberToChange,initialValue,Operator to use for positive,Value to use for positive,Operator To Use for Negative,Value to Use for Negative,num of iteration for positive,num of iterations for negative,number of iterations for finish,valueToCompare,comparationOperan,numberofphases,Phase to Manipulate,Operator for conversion,Value for  converstion,flipBreakLimit,Use Border,top Border,bottom Border,Use Probability,positive Prob,Negative Prob,use inhibition,pos inhibition number,neg inhibition,FlipInhbitionNumber
1,11,1,*,1,*,1,1,1,1,0.5,>,2,1,+,0,5,FALSE,0,0,FALSE,100,100,TRUE,1,1,4
1210202,12,-0.01,/,0.85,*,0.85,20,20,25,0.5,>,2,2,+,1,5,TRUE,-0.001,-0.2448,FALSE,100,100,TRUE,1,1,4
121029,12,-0.3388,/,0.85,*,0.85,2,2,2,0.5,>,2,2,+,1,5,TRUE,0,-0.52941,FALSE,100,100,TRUE,1,1,4
121027,12,-0.288,/,0.85,*,0.85,1,1,1,0.5,>,2,2,+,1,5,TRUE,0,-0.45,FALSE,100,100,TRUE,1,1,4
1220202,12,0.05,/,0.85,*,0.85,20,20,25,0.5,>,2,2,+,1,5,TRUE,0.36992,0.05,FALSE,100,100,TRUE,1,1,4
122029,12,0.512,/,0.85,*,0.85,2,2,2,0.5,>,2,2,+,1,5,TRUE,0.8,0.05,FALSE,100,100,TRUE,1,1,4
122027,12,0.4352,/,0.85,*,0.85,1,1,1,0.5,>,2,2,+,1,5,TRUE,0.68,0.05,FALSE,100,100,TRUE,1,1,4
3010202,30,-1,/,0.65,*,0.65,20,20,25,0.5,>,2,2,+,0,5,TRUE,0,-14.2805,FALSE,100,100,TRUE,1,1,4
301029,30,-33.8,/,0.65,*,0.65,2,2,2,0.5,>,2,2,+,0,5,TRUE,0,-80,FALSE,100,100,TRUE,1,1,4
301027,30,-21.97,/,0.65,*,0.65,1,1,1,0.5,>,2,2,+,0,5,TRUE,0,-52,FALSE,100,100,TRUE,1,1,4
3020202,30,1,/,0.65,*,0.65,20,20,25,0.5,>,2,2,+,0,5,TRUE,21.97,0,FALSE,100,100,TRUE,1,1,4
302029,30,52,/,0.65,*,0.65,2,2,2,0.5,>,2,2,+,0,5,TRUE,80,0,FALSE,100,100,TRUE,1,1,4
302027,30,33.8,/,0.65,*,0.65,1,1,1,0.5,>,2,2,+,0,5,TRUE,52,0,FALSE,100,100,TRUE,1,1,4
6010202,6,-0.01,/,0.7,*,0.7,20,20,25,0.5,>,2,2,+,0,5,TRUE,0,-0.15435,FALSE,100,100,TRUE,1,1,4
601029,6,-0.315,/,0.7,*,0.7,2,2,2,0.5,>,2,2,+,0,5,TRUE,0,-0.45,FALSE,100,100,TRUE,1,1,4
601027,6,-0.2205,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,TRUE,0,-0.315,FALSE,100,100,TRUE,1,1,4
6020202,6,0.01,/,0.7,*,0.7,20,20,25,0.5,>,2,2,+,0,5,TRUE,0.052942,0,FALSE,100,100,TRUE,1,1,4
602027,6,0.075631429,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,TRUE,0.315,0,FALSE,100,100,TRUE,1,1,4
602029,6,0.10804,/,0.7,*,0.7,2,2,2,0.5,>,2,2,+,0,5,TRUE,0.45,0,FALSE,100,100,TRUE,1,1,4
