#trial number,block number,distort X,distort Y,distort Z,camera height,roll ,pitch ,bear location,cat speed,cat animation speed,Time ,viginette intensity,grain intensity,grain size,grain luminace,ambiant occusion intensity,Ambiant occusion Radius,lens distortion intensity,Chromatic Aberation intensity,aperture,gravity scale,room Duration,black Screen Duration,Question Number,iterational Staircase,StairCaseID,SensoMotoric Harm,SensoMotoric Delay,Saturation,angleChange,Ripple Frequency,ripple2 - Size,Room Number,line type,setup task Number
0,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,9999,FALSE,0,1,0,0,0,0,0,1,Calibration,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,1,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0.5,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,0.2679,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0.15,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0.2,0,0,0,0,1,Trial,60
-1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,120,0.5,89,True,0,1,0,0,0,0,0,1,Trial,60
