#trial number,block number,distort X,distort Y,distort Z,camera height,roll ,pitch ,bear location,cat speed,cat animation speed,Time ,viginette intensity,grain intensity,grain size,grain luminace,ambiant occusion intensity,Ambiant occusion Radius,lens distortion intensity,Chromatic Aberation intensity,aperture,gravity scale,room Duration,black Screen Duration,Question Number,iterational Staircase,StairCaseID,SensoMotoric Harm,SensoMotoric Delay,Saturation,angleChange,Ripple Frequency,ripple2 - Size,Room Number,line type,setup task Number
0,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,4000,0.25,9993,FALSE,0,1,0,0,0,0,0,1,Calibration,66
1,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,61
2,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,60
3,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,60
4,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,61
5,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,61
6,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,62
7,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,61
8,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,62
9,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,61
10,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,63
11,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,62
12,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,63
13,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,60
14,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,63
15,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,60
16,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,63
17,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,62
18,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,62
19,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,61
20,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,61
21,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,62
22,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,63
23,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,61
24,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,63
25,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,60
26,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,60
27,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,60
28,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,62
29,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,63
30,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,62
31,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,60
32,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,60
33,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,61
34,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,60
35,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,63
36,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,62
37,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,3333,TRUE,0,1,0,0,0,0,0,1,Trial,60
38,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,63
39,1,1,1,1,0,0,0,0,0.5,1,1,0,0,0.3,0,0,0.25,0,0,5.6,-9.81,10,0.5,2222,TRUE,0,1,0,0,0,0,0,1,Trial,61
